experiment,date,exptype,num_fish,frame_rate,rig_size,frame_pixel,body_length,px_to_mm
t1_221012,10-12-2022,schooling,2,121,300,1000,12,0.35,
t3_221021,10-21-2022,schooling,2,121,300,1000,12,0.35,
t1_221021,10-21-2022,schooling,4,121,300,1000,12,0.35,
t3_221012,10-12-2022,schooling,4,121,300,1000,12,0.35,
t1_221014,10-14-2022,schooling,6,121,300,1000,12,0.35,
t3_221019,10-19-2022,schooling,6,121,300,1000,12,0.35,
t2_221014,10-14-2022,schooling,8,121,300,1000,12,0.35,
t2_221021,10-21-2022,schooling,8,121,300,1000,12,0.35,
t3_221014,10-14-2022,schooling,10,121,300,1000,12,0.35,
221014_t6,10-14-2022,schooling_big,10,121,300,1000,12,0.35,
221014_t4,10-14-2022,schooling_big,12,121,300,1000,12,0.35,
221019_t2v2,10-19-2022,schooling_big,12,121,300,1000,12,0.35,
221014_t5,10-14-2022,schooling_big,14,121,300,1000,12,0.35,
221019_t1,10-19-2022,schooling_big,14,121,300,1000,12,0.35,
